"Id","ProductName","Cliente","Pais_Venta","Quantity","UnitPrice","Pais_de_Origen","Proveedor"
515,"Tourtière","Roland Mendel","Austria",80,5.9,"Canada","Ma Maison"
516,"Louisiana Hot Spiced Okra","Roland Mendel","Austria",60,13.6,"USA","New Orleans Cajun Delights"
517,"Queso Cabrales","Maurizio Moroni","Italy",6,16.8,"Spain","Cooperativa de Quesos 'Las Cabras'''"
518,"Rössle Sauerkraut","Maurizio Moroni","Italy",12,36.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
519,"Alice Mutton","Christina Berglund","Sweden",10,31.2,"Australia","Pavlova, Ltd."
520,"Gumbär Gummibärchen","Christina Berglund","Sweden",15,24.9,"Germany","Heli Süßwaren GmbH & Co. KG"
521,"Steeleye Stout","Christina Berglund","Sweden",8,14.4,"USA","Bigfoot Breweries"
522,"Jack's New England Clam Chowder'","Christina Berglund","Sweden",30,7.7,"USA","New England Seafood Cannery"
523,"Chartreuse verte","Christina Berglund","Sweden",6,14.4,"France","Aux joyeux ecclésiastiques"
524,"Tourtière","Christina Berglund","Sweden",15,5.9,"Canada","Ma Maison"
525,"Teatime Chocolate Biscuits","Karin Josephs","Germany",12,7.3,"UK","Specialty Biscuits, Ltd."
526,"Guaraná Fantástica","Karin Josephs","Germany",20,3.6,"Brazil","Refrescos Americanas LTDA"
527,"Gorgonzola Telino","Karin Josephs","Germany",3,10.0,"Italy","Formaggi Fortini s.r.l."
528,"Filo Mix","Karin Josephs","Germany",15,5.6,"Sydney","G'day"
529,"Teatime Chocolate Biscuits","Janete Limeira","Brazil",40,7.3,"UK","Specialty Biscuits, Ltd."
530,"Louisiana Fiery Hot Pepper Sauce","Janete Limeira","Brazil",35,16.8,"USA","New Orleans Cajun Delights"
531,"Flotemysost","Janete Limeira","Brazil",2,17.2,"Norway","Norske Meierier"
532,"Gumbär Gummibärchen","Sergio Gutiérrez","Argentina",6,24.9,"Germany","Heli Süßwaren GmbH & Co. KG"
533,"Boston Crab Meat","Sergio Gutiérrez","Argentina",20,14.7,"USA","New England Seafood Cannery"
534,"Ikura","Frédérique Citeaux","France",14,24.8,"Japan","Tokyo Traders"
535,"Filo Mix","Frédérique Citeaux","France",20,5.6,"Sydney","G'day"
536,"Tarte au sucre","Frédérique Citeaux","France",35,39.4,"Canada","Forêts d'érables'"
537,"Ikura","Mary Saveley","France",20,24.8,"Japan","Tokyo Traders"
538,"Tourtière","Mary Saveley","France",6,5.9,"Canada","Ma Maison"
539,"Pâté chinois","Horst Kloss","Germany",120,19.2,"Canada","Ma Maison"
540,"Wimmers gute Semmelknödel","Horst Kloss","Germany",35,26.6,"Germany","Plutzer Lebensmittelgroßmärkte AG"
541,"Louisiana Fiery Hot Pepper Sauce","Horst Kloss","Germany",28,16.8,"USA","New Orleans Cajun Delights"
542,"Original Frankfurter grüne Soße","Horst Kloss","Germany",55,10.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
543,"Rössle Sauerkraut","Jose Pavarotti","USA",15,36.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
544,"Gula Malacca","Jose Pavarotti","USA",100,15.5,"Singapore","Leka Trading"
545,"Chocolade","Thomas Hardy","UK",15,10.2,"Netherlands","Zaanse Snoepfabriek"
546,"Outback Lager","Thomas Hardy","UK",25,12.0,"Australia","Pavlova, Ltd."
547,"Pavlova","Annette Roulet","France",20,13.9,"Australia","Pavlova, Ltd."
548,"Geitost","Annette Roulet","France",20,2.0,"Norway","Norske Meierier"
549,"Spegesild","Annette Roulet","France",10,9.6,"Denmark","Lyngbysild"
550,"Chartreuse verte","Pirkko Koskitalo","Finland",20,14.4,"France","Aux joyeux ecclésiastiques"
551,"Perth Pasties","Pirkko Koskitalo","Finland",50,26.2,"Sydney","G'day"
552,"Sirop d'érable'","Pirkko Koskitalo","Finland",25,22.8,"Canada","Forêts d'érables'"
553,"Flotemysost","Pirkko Koskitalo","Finland",30,17.2,"Norway","Norske Meierier"
554,"Sir Rodney's Scones'","Philip Cramer","Germany",40,8.0,"UK","Specialty Biscuits, Ltd."
555,"Maxilaku","Philip Cramer","Germany",21,16.0,"Finland","Karkki Oy"
556,"Raclette Courdavault","Philip Cramer","Germany",36,44.0,"France","Gai pâturage"
557,"Gumbär Gummibärchen","Pascale Cartrain","Belgium",30,24.9,"Germany","Heli Süßwaren GmbH & Co. KG"
558,"Rössle Sauerkraut","Pascale Cartrain","Belgium",30,36.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
559,"Ipoh Coffee","Pascale Cartrain","Belgium",20,36.8,"Singapore","Leka Trading"
560,"Gnocchi di nonna Alice","Pascale Cartrain","Belgium",15,30.4,"Italy","Pasta Buttini s.r.l."
561,"Flotemysost","Pascale Cartrain","Belgium",50,17.2,"Norway","Norske Meierier"
562,"Uncle Bob's Organic Dried Pears'","Mary Saveley","France",16,24.0,"USA","Grandma Kelly's Homestead'"
563,"Spegesild","Mary Saveley","France",20,9.6,"Denmark","Lyngbysild"
564,"Mozzarella di Giovanni","Mary Saveley","France",40,27.8,"Italy","Formaggi Fortini s.r.l."
565,"Scottish Longbreads","Maria Larsson","Sweden",21,10.0,"UK","Specialty Biscuits, Ltd."
566,"Rhönbräu Klosterbier","Maria Larsson","Sweden",4,6.2,"Germany","Plutzer Lebensmittelgroßmärkte AG"
567,"Sir Rodney's Scones'","Carlos González","Venezuela",40,8.0,"UK","Specialty Biscuits, Ltd."
568,"Nord-Ost Matjeshering","Carlos González","Venezuela",28,20.7,"Germany","Nord-Ost-Fisch Handelsgesellschaft mbH"
569,"Pâté chinois","Carlos González","Venezuela",60,19.2,"Canada","Ma Maison"
570,"Konbu","Elizabeth Brown","UK",1,4.8,"Japan","Mayumi's'"
571,"Tunnbröd","Elizabeth Brown","UK",21,7.2,"Sweden","PB Knäckebröd AB"
572,"Teatime Chocolate Biscuits","Pascale Cartrain","Belgium",21,7.3,"UK","Specialty Biscuits, Ltd."
573,"Singaporean Hokkien Fried Mee","Pascale Cartrain","Belgium",50,11.2,"Singapore","Leka Trading"
574,"Chef Anton's Cajun Seasoning'","Lino Rodriguez","Portugal",16,17.6,"USA","New Orleans Cajun Delights"
575,"Ipoh Coffee","Lino Rodriguez","Portugal",3,36.8,"Singapore","Leka Trading"
576,"Gnocchi di nonna Alice","Lino Rodriguez","Portugal",30,30.4,"Italy","Pasta Buttini s.r.l."
577,"Camembert Pierrot","Lino Rodriguez","Portugal",20,27.2,"France","Gai pâturage"
578,"Guaraná Fantástica","Palle Ibsen","Denmark",25,3.6,"Brazil","Refrescos Americanas LTDA"
579,"Thüringer Rostbratwurst","Palle Ibsen","Denmark",18,99.0,"Germany","Plutzer Lebensmittelgroßmärkte AG"
580,"Boston Crab Meat","Palle Ibsen","Denmark",20,14.7,"USA","New England Seafood Cannery"
581,"Rogede sild","Palle Ibsen","Denmark",30,7.6,"Denmark","Lyngbysild"
582,"Valkoinen suklaa","Palle Ibsen","Denmark",25,13.0,"Finland","Karkki Oy"
583,"Queso Cabrales","Pedro Afonso","Brazil",10,16.8,"Spain","Cooperativa de Quesos 'Las Cabras'''"
584,"Spegesild","Pedro Afonso","Brazil",5,9.6,"Denmark","Lyngbysild"
585,"Guaraná Fantástica","Giovanni Rovelli","Italy",28,3.6,"Brazil","Refrescos Americanas LTDA"
586,"NuNuCa Nuß-Nougat-Creme","Giovanni Rovelli","Italy",12,11.2,"Germany","Heli Süßwaren GmbH & Co. KG"
587,"Nord-Ost Matjeshering","Philip Cramer","Germany",8,20.7,"Germany","Nord-Ost-Fisch Handelsgesellschaft mbH"
588,"Ipoh Coffee","Philip Cramer","Germany",15,36.8,"Singapore","Leka Trading"
589,"Chang","Karl Jablonski","USA",40,15.2,"UK","Exotic Liquids"
590,"Pavlova","Karl Jablonski","USA",35,13.9,"Australia","Pavlova, Ltd."
591,"Gula Malacca","Karl Jablonski","USA",2,15.5,"Singapore","Leka Trading"
592,"Carnarvon Tigers","Laurence Lebihan","France",30,50.0,"Australia","Pavlova, Ltd."
593,"Tunnbröd","Laurence Lebihan","France",15,7.2,"Sweden","PB Knäckebröd AB"
594,"Wimmers gute Semmelknödel","Laurence Lebihan","France",8,26.6,"Germany","Plutzer Lebensmittelgroßmärkte AG"
595,"Uncle Bob's Organic Dried Pears'","Victoria Ashworth","UK",30,24.0,"USA","Grandma Kelly's Homestead'"
596,"Gnocchi di nonna Alice","Victoria Ashworth","UK",20,30.4,"Italy","Pasta Buttini s.r.l."
597,"Guaraná Fantástica","Hari Kumar","UK",80,3.6,"Brazil","Refrescos Americanas LTDA"
598,"Manjimup Dried Apples","Hari Kumar","UK",18,42.4,"Sydney","G'day"
599,"Geitost","Helen Bennett","UK",12,2.0,"Norway","Norske Meierier"
600,"Flotemysost","Helen Bennett","UK",12,17.2,"Norway","Norske Meierier"
601,"Tofu","Guillermo Fernández","Mexico",12,18.6,"Japan","Mayumi's'"
602,"Rössle Sauerkraut","Guillermo Fernández","Mexico",18,36.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
603,"Boston Crab Meat","Guillermo Fernández","Mexico",21,14.7,"USA","New England Seafood Cannery"
604,"Rhönbräu Klosterbier","Guillermo Fernández","Mexico",10,6.2,"Germany","Plutzer Lebensmittelgroßmärkte AG"
605,"Gorgonzola Telino","Pascale Cartrain","Belgium",35,10.0,"Italy","Formaggi Fortini s.r.l."
606,"Louisiana Hot Spiced Okra","Pascale Cartrain","Belgium",60,13.6,"USA","New Orleans Cajun Delights"
607,"Lakkalikööri","Pascale Cartrain","Belgium",42,14.4,"Finland","Karkki Oy"
608,"Pâté chinois","Carlos Hernández","Venezuela",2,19.2,"Canada","Ma Maison"
609,"Outback Lager","Carlos Hernández","Venezuela",12,12.0,"Australia","Pavlova, Ltd."
610,"Chai","Isabel de Castro","Portugal",15,14.4,"UK","Exotic Liquids"
611,"Sir Rodney's Scones'","Isabel de Castro","Portugal",21,8.0,"UK","Specialty Biscuits, Ltd."
612,"Chartreuse verte","Isabel de Castro","Portugal",20,14.4,"France","Aux joyeux ecclésiastiques"
613,"Ikura","Mary Saveley","France",20,24.8,"Japan","Tokyo Traders"
614,"Côte de Blaye","Paula Wilson","USA",30,210.8,"France","Aux joyeux ecclésiastiques"
615,"Perth Pasties","Paula Wilson","USA",28,26.2,"Sydney","G'day"
616,"Raclette Courdavault","Paula Wilson","USA",60,44.0,"France","Gai pâturage"
617,"Wimmers gute Semmelknödel","Paula Wilson","USA",30,26.6,"Germany","Plutzer Lebensmittelgroßmärkte AG"
618,"Zaanse koeken","Martine Rancé","France",30,7.6,"Netherlands","Zaanse Snoepfabriek"
619,"Raclette Courdavault","Martine Rancé","France",12,44.0,"France","Gai pâturage"
620,"Maxilaku","Janete Limeira","Brazil",24,16.0,"Finland","Karkki Oy"
621,"Camembert Pierrot","Janete Limeira","Brazil",40,27.2,"France","Gai pâturage"
622,"Boston Crab Meat","John Steel","USA",10,14.7,"USA","New England Seafood Cannery"
623,"Sasquatch Ale","Karl Jablonski","USA",35,11.2,"USA","Bigfoot Breweries"
624,"Original Frankfurter grüne Soße","Karl Jablonski","USA",30,10.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
625,"Sir Rodney's Scones'","Victoria Ashworth","UK",14,8.0,"UK","Specialty Biscuits, Ltd."
626,"Boston Crab Meat","Victoria Ashworth","UK",10,14.7,"USA","New England Seafood Cannery"
627,"Manjimup Dried Apples","Victoria Ashworth","UK",3,42.4,"Sydney","G'day"
628,"Chang","Felipe Izquierdo","Venezuela",20,15.2,"UK","Exotic Liquids"
629,"Aniseed Syrup","Felipe Izquierdo","Venezuela",20,8.0,"UK","Exotic Liquids"
630,"Pâté chinois","Felipe Izquierdo","Venezuela",30,19.2,"Canada","Ma Maison"
631,"Outback Lager","Felipe Izquierdo","Venezuela",60,12.0,"Australia","Pavlova, Ltd."
632,"Queso Cabrales","Carlos Hernández","Venezuela",5,16.8,"Spain","Cooperativa de Quesos 'Las Cabras'''"
633,"Manjimup Dried Apples","Carlos Hernández","Venezuela",25,42.4,"Sydney","G'day"
634,"Longlife Tofu","Carlos Hernández","Venezuela",16,8.0,"Japan","Tokyo Traders"
635,"Teatime Chocolate Biscuits","Lúcia Carvalho","Brazil",5,7.3,"UK","Specialty Biscuits, Ltd."
636,"Gumbär Gummibärchen","Lúcia Carvalho","Brazil",30,24.9,"Germany","Heli Süßwaren GmbH & Co. KG"
637,"Tourtière","Lúcia Carvalho","Brazil",24,5.9,"Canada","Ma Maison"
638,"Raclette Courdavault","Peter Franken","Germany",30,44.0,"France","Gai pâturage"
639,"Röd Kaviar","Peter Franken","Germany",20,12.0,"Sweden","Svensk Sjöföda AB"
640,"Queso Cabrales","Georg Pipps","Austria",15,16.8,"Spain","Cooperativa de Quesos 'Las Cabras'''"
641,"Pavlova","Georg Pipps","Austria",18,13.9,"Australia","Pavlova, Ltd."
642,"Raclette Courdavault","Carlos Hernández","Venezuela",60,44.0,"France","Gai pâturage"
643,"Scottish Longbreads","Carlos Hernández","Venezuela",30,10.0,"UK","Specialty Biscuits, Ltd."
644,"Rhönbräu Klosterbier","Carlos Hernández","Venezuela",36,6.2,"Germany","Plutzer Lebensmittelgroßmärkte AG"
645,"Gula Malacca","Lino Rodriguez","Portugal",15,15.5,"Singapore","Leka Trading"
646,"Original Frankfurter grüne Soße","Lino Rodriguez","Portugal",7,10.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
647,"NuNuCa Nuß-Nougat-Creme","Elizabeth Lincoln","Canada",60,11.2,"Germany","Heli Süßwaren GmbH & Co. KG"
648,"Singaporean Hokkien Fried Mee","Elizabeth Lincoln","Canada",20,11.2,"Singapore","Leka Trading"
649,"Louisiana Fiery Hot Pepper Sauce","Annette Roulet","France",15,16.8,"USA","New Orleans Cajun Delights"
650,"Louisiana Hot Spiced Okra","Annette Roulet","France",10,13.6,"USA","New Orleans Cajun Delights"
651,"Gudbrandsdalsost","Annette Roulet","France",10,28.8,"Norway","Norske Meierier"
652,"Gnocchi di nonna Alice","Pedro Afonso","Brazil",30,30.4,"Italy","Pasta Buttini s.r.l."
653,"Tunnbröd","Yoshi Tannamuri","Canada",10,7.2,"Sweden","PB Knäckebröd AB"
654,"Jack's New England Clam Chowder'","Yoshi Tannamuri","Canada",20,7.7,"USA","New England Seafood Cannery"
655,"Original Frankfurter grüne Soße","Yoshi Tannamuri","Canada",5,10.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
656,"Gorgonzola Telino","Anabela Domingues","Brazil",20,10.0,"Italy","Formaggi Fortini s.r.l."
657,"Gnocchi di nonna Alice","Renate Messner","Germany",14,30.4,"Italy","Pasta Buttini s.r.l."
658,"Mozzarella di Giovanni","Renate Messner","Germany",25,27.8,"Italy","Formaggi Fortini s.r.l."
659,"Original Frankfurter grüne Soße","Renate Messner","Germany",25,10.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
660,"Guaraná Fantástica","Carlos Hernández","Venezuela",14,4.5,"Brazil","Refrescos Americanas LTDA"
661,"Boston Crab Meat","Carlos Hernández","Venezuela",5,18.4,"USA","New England Seafood Cannery"
662,"Singaporean Hokkien Fried Mee","Carlos Hernández","Venezuela",30,14.0,"Singapore","Leka Trading"
663,"Rössle Sauerkraut","Carlos González","Venezuela",20,45.6,"Germany","Plutzer Lebensmittelgroßmärkte AG"
664,"Maxilaku","Carlos González","Venezuela",25,20.0,"Finland","Karkki Oy"
665,"Genen Shouyu","Annette Roulet","France",12,15.5,"Japan","Mayumi's'"
666,"Rössle Sauerkraut","Annette Roulet","France",8,45.6,"Germany","Plutzer Lebensmittelgroßmärkte AG"
667,"Tourtière","Hanna Moos","Germany",20,7.45,"Canada","Ma Maison"
668,"Rogede sild","Guillermo Fernández","Mexico",21,9.5,"Denmark","Lyngbysild"
669,"Perth Pasties","Guillermo Fernández","Mexico",6,32.8,"Sydney","G'day"
670,"Laughing Lumberjack Lager","Guillermo Fernández","Mexico",30,14.0,"USA","Bigfoot Breweries"
671,"Tofu","Patricia McKenna","Ireland",70,23.25,"Japan","Mayumi's'"
672,"Louisiana Fiery Hot Pepper Sauce","Patricia McKenna","Ireland",20,21.05,"USA","New Orleans Cajun Delights"
673,"Chang","Karl Jablonski","USA",12,19.0,"UK","Exotic Liquids"
674,"Sir Rodney's Scones'","Karl Jablonski","USA",12,10.0,"UK","Specialty Biscuits, Ltd."
675,"Perth Pasties","Karl Jablonski","USA",10,32.8,"Sydney","G'day"
676,"Sirop d'érable'","Karl Jablonski","USA",25,28.5,"Canada","Forêts d'érables'"
677,"Tarte au sucre","Jean Fresnière","Canada",3,49.3,"Canada","Forêts d'érables'"
678,"NuNuCa Nuß-Nougat-Creme","Philip Cramer","Germany",18,14.0,"Germany","Heli Süßwaren GmbH & Co. KG"
679,"Outback Lager","Philip Cramer","Germany",14,15.0,"Australia","Pavlova, Ltd."
680,"Ipoh Coffee","Antonio Moreno","Mexico",15,46.0,"Singapore","Leka Trading"
681,"Chocolade","Antonio Moreno","Mexico",15,12.75,"Netherlands","Zaanse Snoepfabriek"
682,"Konbu","Henriette Pfalzheim","Germany",10,6.0,"Japan","Mayumi's'"
683,"Chartreuse verte","Henriette Pfalzheim","Germany",10,18.0,"France","Aux joyeux ecclésiastiques"
684,"Rössle Sauerkraut","Hanna Moos","Germany",3,45.6,"Germany","Plutzer Lebensmittelgroßmärkte AG"
685,"Thüringer Rostbratwurst","Jose Pavarotti","USA",36,123.79,"Germany","Plutzer Lebensmittelgroßmärkte AG"
686,"Rhönbräu Klosterbier","Jose Pavarotti","USA",36,7.75,"Germany","Plutzer Lebensmittelgroßmärkte AG"
687,"Chef Anton's Cajun Seasoning'","Laurence Lebihan","France",50,22.0,"USA","New Orleans Cajun Delights"
688,"Uncle Bob's Organic Dried Pears'","Laurence Lebihan","France",50,30.0,"USA","Grandma Kelly's Homestead'"
689,"Northwoods Cranberry Sauce","Laurence Lebihan","France",10,40.0,"USA","Grandma Kelly's Homestead'"
690,"Guaraná Fantástica","Aria Cruz","Brazil",10,4.5,"Brazil","Refrescos Americanas LTDA"
691,"Spegesild","Aria Cruz","Brazil",9,12.0,"Denmark","Lyngbysild"
692,"Zaanse koeken","Aria Cruz","Brazil",6,9.5,"Netherlands","Zaanse Snoepfabriek"
693,"Camembert Pierrot","Aria Cruz","Brazil",12,34.0,"France","Gai pâturage"
694,"Sir Rodney's Scones'","Rita Müller","Germany",40,10.0,"UK","Specialty Biscuits, Ltd."
695,"Mascarpone Fabioli","Rita Müller","Germany",50,32.0,"Italy","Formaggi Fortini s.r.l."
696,"Sirop d'érable'","Rita Müller","Germany",15,28.5,"Canada","Forêts d'érables'"
697,"Sir Rodney's Marmalade'","Roland Mendel","Austria",39,81.0,"UK","Specialty Biscuits, Ltd."
698,"Rössle Sauerkraut","Roland Mendel","Austria",35,45.6,"Germany","Plutzer Lebensmittelgroßmärkte AG"
699,"Gnocchi di nonna Alice","Roland Mendel","Austria",70,38.0,"Italy","Pasta Buttini s.r.l."
700,"Louisiana Fiery Hot Pepper Sauce","Roland Mendel","Austria",39,21.05,"USA","New Orleans Cajun Delights"
701,"Rhönbräu Klosterbier","Roland Mendel","Austria",50,7.75,"Germany","Plutzer Lebensmittelgroßmärkte AG"
702,"Mishi Kobe Niku","Horst Kloss","Germany",16,97.0,"Japan","Tokyo Traders"
703,"Pavlova","Horst Kloss","Germany",50,17.45,"Australia","Pavlova, Ltd."
704,"Schoggi Schokolade","Horst Kloss","Germany",120,43.9,"Germany","Heli Süßwaren GmbH & Co. KG"
705,"Geitost","Horst Kloss","Germany",16,2.5,"Norway","Norske Meierier"
706,"Camembert Pierrot","Horst Kloss","Germany",84,34.0,"France","Gai pâturage"
707,"Carnarvon Tigers","Patricia McKenna","Ireland",25,62.5,"Australia","Pavlova, Ltd."
708,"Jack's New England Clam Chowder'","Patricia McKenna","Ireland",80,9.65,"USA","New England Seafood Cannery"
709,"Singaporean Hokkien Fried Mee","Patricia McKenna","Ireland",20,14.0,"Singapore","Leka Trading"
710,"Filo Mix","Simon Crowther","UK",6,7.0,"Sydney","G'day"
711,"Raclette Courdavault","Simon Crowther","UK",4,55.0,"France","Gai pâturage"
712,"Outback Lager","Simon Crowther","UK",6,15.0,"Australia","Pavlova, Ltd."
713,"Guaraná Fantástica","Miguel Angel Paolino","Mexico",5,4.5,"Brazil","Refrescos Americanas LTDA"
714,"Côte de Blaye","Miguel Angel Paolino","Mexico",15,263.5,"France","Aux joyeux ecclésiastiques"
715,"Gula Malacca","Miguel Angel Paolino","Mexico",9,19.45,"Singapore","Leka Trading"
716,"Ikura","Yang Wang","Switzerland",16,31.0,"Japan","Tokyo Traders"
717,"Gnocchi di nonna Alice","Yang Wang","Switzerland",40,38.0,"Italy","Pasta Buttini s.r.l."
718,"Camembert Pierrot","Yang Wang","Switzerland",10,34.0,"France","Gai pâturage"
719,"Guaraná Fantástica","Jonas Bergulfsen","Norway",8,4.5,"Brazil","Refrescos Americanas LTDA"
720,"Perth Pasties","Jonas Bergulfsen","Norway",5,32.8,"Sydney","G'day"
721,"Steeleye Stout","Patricio Simpson","Argentina",3,18.0,"USA","Bigfoot Breweries"
722,"Jack's New England Clam Chowder'","Patricio Simpson","Argentina",10,9.65,"USA","New England Seafood Cannery"
723,"Scottish Longbreads","Patricio Simpson","Argentina",6,12.5,"UK","Specialty Biscuits, Ltd."
724,"Chai","Renate Messner","Germany",40,18.0,"UK","Exotic Liquids"
725,"Northwoods Cranberry Sauce","Renate Messner","Germany",24,40.0,"USA","Grandma Kelly's Homestead'"
726,"Nord-Ost Matjeshering","Renate Messner","Germany",20,25.89,"Germany","Nord-Ost-Fisch Handelsgesellschaft mbH"
727,"Boston Crab Meat","Renate Messner","Germany",25,18.4,"USA","New England Seafood Cannery"
728,"Alice Mutton","Hari Kumar","UK",25,39.0,"Australia","Pavlova, Ltd."
729,"Sir Rodney's Marmalade'","Hari Kumar","UK",15,81.0,"UK","Specialty Biscuits, Ltd."
730,"Gravad lax","Hari Kumar","UK",18,26.0,"Sweden","Svensk Sjöföda AB"
731,"Jack's New England Clam Chowder'","Hari Kumar","UK",6,9.65,"USA","New England Seafood Cannery"
732,"Ikura","Christina Berglund","Sweden",2,31.0,"Japan","Tokyo Traders"
733,"Nord-Ost Matjeshering","Christina Berglund","Sweden",10,25.89,"Germany","Nord-Ost-Fisch Handelsgesellschaft mbH"
734,"Ipoh Coffee","Christina Berglund","Sweden",60,46.0,"Singapore","Leka Trading"
735,"Tourtière","Christina Berglund","Sweden",15,7.45,"Canada","Ma Maison"
736,"Inlagd Sill","Laurence Lebihan","France",30,19.0,"Sweden","Svensk Sjöföda AB"
737,"Boston Crab Meat","Laurence Lebihan","France",15,18.4,"USA","New England Seafood Cannery"
738,"Chai","Pirkko Koskitalo","Finland",8,18.0,"UK","Exotic Liquids"
739,"Konbu","Pirkko Koskitalo","Finland",10,6.0,"Japan","Mayumi's'"
740,"Gnocchi di nonna Alice","Pirkko Koskitalo","Finland",30,38.0,"Italy","Pasta Buttini s.r.l."
741,"Chef Anton's Cajun Seasoning'","Horst Kloss","Germany",50,22.0,"USA","New Orleans Cajun Delights"
742,"Inlagd Sill","Horst Kloss","Germany",30,19.0,"Sweden","Svensk Sjöföda AB"
743,"Queso Cabrales","Howard Snyder","USA",3,21.0,"Spain","Cooperativa de Quesos 'Las Cabras'''"
744,"Geitost","Howard Snyder","USA",8,2.5,"Norway","Norske Meierier"
745,"Mozzarella di Giovanni","Howard Snyder","USA",9,34.8,"Italy","Formaggi Fortini s.r.l."
746,"Pâté chinois","Catherine Dewey","Belgium",14,24.0,"Canada","Ma Maison"
747,"Scottish Longbreads","Catherine Dewey","Belgium",20,12.5,"UK","Specialty Biscuits, Ltd."
748,"Gudbrandsdalsost","Catherine Dewey","Belgium",10,36.0,"Norway","Norske Meierier"
749,"Alice Mutton","Georg Pipps","Austria",40,39.0,"Australia","Pavlova, Ltd."
750,"Ipoh Coffee","Georg Pipps","Austria",25,46.0,"Singapore","Leka Trading"
751,"Sirop d'érable'","Georg Pipps","Austria",20,28.5,"Canada","Forêts d'érables'"
752,"Lakkalikööri","Georg Pipps","Austria",50,18.0,"Finland","Karkki Oy"
753,"Raclette Courdavault","Yvonne Moncada","Argentina",2,55.0,"France","Gai pâturage"
754,"Nord-Ost Matjeshering","Ann Devon","UK",15,25.89,"Germany","Nord-Ost-Fisch Handelsgesellschaft mbH"
755,"Louisiana Hot Spiced Okra","Ann Devon","UK",24,17.0,"USA","New Orleans Cajun Delights"
756,"Chef Anton's Cajun Seasoning'","Maria Larsson","Sweden",50,22.0,"USA","New Orleans Cajun Delights"
757,"Mozzarella di Giovanni","Maria Larsson","Sweden",24,34.8,"Italy","Formaggi Fortini s.r.l."
758,"Röd Kaviar","Maria Larsson","Sweden",24,15.0,"Sweden","Svensk Sjöföda AB"
759,"Nord-Ost Matjeshering","Renate Messner","Germany",10,25.89,"Germany","Nord-Ost-Fisch Handelsgesellschaft mbH"
760,"Boston Crab Meat","Renate Messner","Germany",10,18.4,"USA","New England Seafood Cannery"
761,"Tourtière","Renate Messner","Germany",10,7.45,"Canada","Ma Maison"
762,"Queso Cabrales","Antonio Moreno","Mexico",50,21.0,"Spain","Cooperativa de Quesos 'Las Cabras'''"
763,"Boston Crab Meat","Antonio Moreno","Mexico",10,18.4,"USA","New England Seafood Cannery"
764,"Ravioli Angelo","Antonio Moreno","Mexico",5,19.5,"Italy","Pasta Buttini s.r.l."
765,"Raclette Courdavault","Antonio Moreno","Mexico",15,55.0,"France","Gai pâturage"
766,"Queso Manchego La Pastora","Renate Messner","Germany",15,38.0,"Spain","Cooperativa de Quesos 'Las Cabras'''"
767,"Gorgonzola Telino","Renate Messner","Germany",20,12.5,"Italy","Formaggi Fortini s.r.l."
768,"Geitost","Renate Messner","Germany",30,2.5,"Norway","Norske Meierier"
769,"Camembert Pierrot","Renate Messner","Germany",35,34.0,"France","Gai pâturage"
770,"Gorgonzola Telino","Michael Holz","Switzerland",30,12.5,"Italy","Formaggi Fortini s.r.l."
771,"Manjimup Dried Apples","Michael Holz","Switzerland",6,53.0,"Sydney","G'day"
772,"Escargots de Bourgogne","Michael Holz","Switzerland",20,13.25,"France","Escargots Nouveaux"
773,"Mozzarella di Giovanni","Michael Holz","Switzerland",21,34.8,"Italy","Formaggi Fortini s.r.l."
774,"Röd Kaviar","Michael Holz","Switzerland",9,15.0,"Sweden","Svensk Sjöföda AB"
775,"Outback Lager","Victoria Ashworth","UK",7,15.0,"Australia","Pavlova, Ltd."
776,"Mozzarella di Giovanni","Victoria Ashworth","UK",1,34.8,"Italy","Formaggi Fortini s.r.l."
777,"Konbu","Victoria Ashworth","UK",8,6.0,"Japan","Mayumi's'"
778,"Sir Rodney's Scones'","Victoria Ashworth","UK",15,10.0,"UK","Specialty Biscuits, Ltd."
779,"Geitost","Victoria Ashworth","UK",15,2.5,"Norway","Norske Meierier"
780,"Maxilaku","Victoria Ashworth","UK",6,20.0,"Finland","Karkki Oy"
781,"Aniseed Syrup","Horst Kloss","Germany",60,10.0,"UK","Exotic Liquids"
782,"Gumbär Gummibärchen","Horst Kloss","Germany",40,31.23,"Germany","Heli Süßwaren GmbH & Co. KG"
783,"Côte de Blaye","Horst Kloss","Germany",30,263.5,"France","Aux joyeux ecclésiastiques"
784,"Scottish Longbreads","Horst Kloss","Germany",35,12.5,"UK","Specialty Biscuits, Ltd."
785,"Guaraná Fantástica","Mario Pontes","Brazil",35,4.5,"Brazil","Refrescos Americanas LTDA"
786,"Côte de Blaye","Mario Pontes","Brazil",4,263.5,"France","Aux joyeux ecclésiastiques"
787,"Louisiana Fiery Hot Pepper Sauce","Mario Pontes","Brazil",36,21.05,"USA","New Orleans Cajun Delights"
